nom_operateur,contact_operateur,telephone_operateur,id_station_local,nom_station,implantation_station,adresse_station
Borneco | FR*BHM,technique.borneco@gmail.com,33123456789,756453,BornEco/63dcef1cde530c3ec2928c1e,Voirie,"3  Place Maurice de Sully, Sully-sur-Loire  45600  France"
Borneco | FR*BHM,technique.borneco@gmail.com,33123456789,756453,BornEco/63dcef1cde530c3ec2928c1e,Voirie,"3  Place Maurice de Sully, Sully-sur-Loire  45600  France"
Borneco | FR*BHM,technique.borneco@gmail.com,33123456789,767307,BornEco/63dcefa3de530c3ec2928c39,Voirie,"  Place des Jeux, Donnemarie-Dontilly  77520  France"
Borneco | FR*BHM,technique.borneco@gmail.com,33123456789,767307,BornEco/63dcefa3de530c3ec2928c39,Voirie,"  Place des Jeux, Donnemarie-Dontilly  77520  France"
Borneco | FR*BHM,technique.borneco@gmail.com,33123456789,782313,BornEco/64255ebeceade60b493082cc,Voirie,"38  Avenue de New York, Paris  75116  France"
evZen | FR*EVZ,support@evzen.com,33123456789,771717,EVzen/0da11575-ea62-47e1-be6f-247316d0fcbf,Voirie,"12  Avenue Draio de la Mar, Carry-le-Rouet  13620  France"
evZen | FR*EVZ,support@evzen.com,33123456789,771717,EVzen/0da11575-ea62-47e1-be6f-247316d0fcbf,Voirie,"12  Avenue Draio de la Mar, Carry-le-Rouet  13620  France"
evZen | FR*EVZ,support@evzen.com,33123456789,683225,CARF - Bornes Publiques/07A6ED91-C96F-4871-AC56-6982896A4AA0,Voirie,"  Rue Prato, Menton  06500  France"
evZen | FR*EVZ,support@evzen.com,33123456789,683225,CARF - Bornes Publiques/07A6ED91-C96F-4871-AC56-6982896A4AA0,Voirie,"  Rue Prato, Menton  06500  France"
evZen | FR*EVZ,support@evzen.com,33123456789,626567,CARF - Bornes Publiques/0B1B7295-2206-42B1-8951-22521F6E8E76,Voirie,"7  Avenue de la 1ère Division Française Libre, Sospel  06380  France"
evZen | FR*EVZ,support@evzen.com,33123456789,626567,CARF - Bornes Publiques/0B1B7295-2206-42B1-8951-22521F6E8E76,Voirie,"7  Avenue de la 1ère Division Française Libre, Sospel  06380  France"
evZen | FR*EVZ,support@evzen.com,33123456789,683228,CARF - Bornes Publiques/170A9812-9FD4-4F8A-85EA-C6C26D275BAA,Voirie,"  Avenue Princesse Grace, Roquebrune-Cap-Martin  06190  France"
evZen | FR*EVZ,support@evzen.com,33123456789,683228,CARF - Bornes Publiques/170A9812-9FD4-4F8A-85EA-C6C26D275BAA,Voirie,"  Avenue Princesse Grace, Roquebrune-Cap-Martin  06190  France"
evZen | FR*EVZ,support@evzen.com,33123456789,674339,CARF - Bornes Publiques/1e51511b-9531-42b9-a289-d22cf5984e15,Voirie,"  Avenue de Verdun, Beausoleil  06240  France"
evZen | FR*EVZ,support@evzen.com,33123456789,674339,CARF - Bornes Publiques/1e51511b-9531-42b9-a289-d22cf5984e15,Voirie,"  Avenue de Verdun, Beausoleil  06240  France"
evZen | FR*EVZ,support@evzen.com,33123456789,683237,CARF - Bornes Publiques/86AFAEBF-A07F-4F93-981B-80D9BC7F856F,Voirie,"  Avenue Raymond Poincaré, Roquebrune-Cap-Martin  06190  France"
evZen | FR*EVZ,support@evzen.com,33123456789,683237,CARF - Bornes Publiques/86AFAEBF-A07F-4F93-981B-80D9BC7F856F,Voirie,"  Avenue Raymond Poincaré, Roquebrune-Cap-Martin  06190  France"
evZen | FR*EVZ,support@evzen.com,33123456789,593336,CARF - Bornes Publiques/91981169-1681-42D0-836C-51CDB0788AEC,Voirie,"248  Route de Saint-Jean, Sainte-Agnès  06500  France"
evZen | FR*EVZ,support@evzen.com,33123456789,593336,CARF - Bornes Publiques/91981169-1681-42D0-836C-51CDB0788AEC,Voirie,"248  Route de Saint-Jean, Sainte-Agnès  06500  France"
evZen | FR*EVZ,support@evzen.com,33123456789,593339,CARF - Bornes Publiques/A1952231-8C6B-4306-B109-106BE66B07FC,Voirie,"103  Avenue Saint-Michel, Sainte-Agnès  06500  France"
evZen | FR*EVZ,support@evzen.com,33123456789,593339,CARF - Bornes Publiques/A1952231-8C6B-4306-B109-106BE66B07FC,Voirie,"103  Avenue Saint-Michel, Sainte-Agnès  06500  France"
evZen | FR*EVZ,support@evzen.com,33123456789,377745,CARF - Bornes Publiques/A94F6CB6-F1DE-4311-87F5-E1C21C182281,Voirie,"9  Boulevard des Moneghetti, Beausoleil  06240  France"
evZen | FR*EVZ,support@evzen.com,33123456789,377745,CARF - Bornes Publiques/A94F6CB6-F1DE-4311-87F5-E1C21C182281,Voirie,"9  Boulevard des Moneghetti, Beausoleil  06240  France"
evZen | FR*EVZ,support@evzen.com,33123456789,613273,ENGIE MAMP - Bornes publiques/07732A52-7E9B-4CE7-B528-7194497E2FA4,Voirie,"91  Rue du Rouet, Marseille  13008  France"
evZen | FR*EVZ,support@evzen.com,33123456789,613273,ENGIE MAMP - Bornes publiques/07732A52-7E9B-4CE7-B528-7194497E2FA4,Voirie,"91  Rue du Rouet, Marseille  13008  France"
evZen | FR*EVZ,support@evzen.com,33123456789,613282,ENGIE MAMP - Bornes publiques/2BF3213A-A7EC-40A8-B813-0BF5E51C0015,Voirie,"  Boulevard de la Libération, Marseille  13001  France"
evZen | FR*EVZ,support@evzen.com,33123456789,613282,ENGIE MAMP - Bornes publiques/2BF3213A-A7EC-40A8-B813-0BF5E51C0015,Voirie,"  Boulevard de la Libération, Marseille  13001  France"
evZen | FR*EVZ,support@evzen.com,33123456789,613285,ENGIE MAMP - Bornes publiques/2EBBB4AD-905E-4898-95B8-DDDE26691452,Voirie,"12  Rue Urbain V, Marseille  13002  France"
evZen | FR*EVZ,support@evzen.com,33123456789,613285,ENGIE MAMP - Bornes publiques/2EBBB4AD-905E-4898-95B8-DDDE26691452,Voirie,"12  Rue Urbain V, Marseille  13002  France"
evZen | FR*EVZ,support@evzen.com,33123456789,678947,ENGIE MAMP - Bornes publiques/42113B28-27BD-4D95-9734-AFCB50E0863D,Voirie,"84  Rue de Lodi, Marseille  13006  France"
