nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache
Borneco,"","",Borneco | FR*BHM,technique.borneco@gmail.com,+33123456789,BornEco,Non concerné,756453,BornEco/63dcef1cde530c3ec2928c1e,Voirie,"3  Place Maurice de Sully, Sully-sur-Loire  45600  France",""," [2.376104 , 47.765942] ",2,FRBHMEPARKINGSULLY2,1843875,22,False,True,False,False,False,False,False,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-21,False
Borneco,"","",Borneco | FR*BHM,technique.borneco@gmail.com,+33123456789,BornEco,Non concerné,756453,BornEco/63dcef1cde530c3ec2928c1e,Voirie,"3  Place Maurice de Sully, Sully-sur-Loire  45600  France",""," [2.376104 , 47.765942] ",2,FRBHMEPARKINGSULLY1,1843872,22,False,True,False,False,False,False,False,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-21,False
Borneco,"","",Borneco | FR*BHM,technique.borneco@gmail.com,+33123456789,BornEco,Non concerné,767307,BornEco/63dcefa3de530c3ec2928c39,Voirie,"  Place des Jeux, Donnemarie-Dontilly  77520  France",""," [3.134437 , 48.477517] ",2,FRBHMELAPOSTEDONNEMARIE2,1943607,7.4,False,True,False,False,False,False,False,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-21,False
Borneco,"","",Borneco | FR*BHM,technique.borneco@gmail.com,+33123456789,BornEco,Non concerné,767307,BornEco/63dcefa3de530c3ec2928c39,Voirie,"  Place des Jeux, Donnemarie-Dontilly  77520  France",""," [3.134437 , 48.477517] ",2,FRBHMELAPOSTEDONNEMARIE1,1943604,7.4,False,True,False,False,False,False,False,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-21,False
Borneco,"","",Borneco | FR*BHM,technique.borneco@gmail.com,+33123456789,BornEco,Non concerné,782313,BornEco/64255ebeceade60b493082cc,Voirie,"38  Avenue de New York, Paris  75116  France",""," [2.294479 , 48.862923] ",1,FRBHMEIMPRIMERIEA1,1984257,22,False,True,False,False,False,False,False,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-21,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,EVzen,Non concerné,771717,EVzen/0da11575-ea62-47e1-be6f-247316d0fcbf,Voirie,"12  Avenue Draio de la Mar, Carry-le-Rouet  13620  France",""," [5.14763 , 43.32846] ",2,FREVZEHAYS2,1960491,50,False,False,True,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-18,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,EVzen,Non concerné,771717,EVzen/0da11575-ea62-47e1-be6f-247316d0fcbf,Voirie,"12  Avenue Draio de la Mar, Carry-le-Rouet  13620  France",""," [5.14763 , 43.32846] ",2,FREVZEHAYS1,1960488,43,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-18,True
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,683225,CARF - Bornes Publiques/07A6ED91-C96F-4871-AC56-6982896A4AA0,Voirie,"  Rue Prato, Menton  06500  France",""," [7.499757 , 43.773746] ",2,FREVZEZENO1,1653437,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-19,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,683225,CARF - Bornes Publiques/07A6ED91-C96F-4871-AC56-6982896A4AA0,Voirie,"  Rue Prato, Menton  06500  France",""," [7.499757 , 43.773746] ",2,FREVZEYUZE1,1653434,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-19,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,626567,CARF - Bornes Publiques/0B1B7295-2206-42B1-8951-22521F6E8E76,Voirie,"7  Avenue de la 1ère Division Française Libre, Sospel  06380  France",""," [7.44416 , 43.88006] ",2,FREVZEEXER1,1544339,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-18,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,626567,CARF - Bornes Publiques/0B1B7295-2206-42B1-8951-22521F6E8E76,Voirie,"7  Avenue de la 1ère Division Française Libre, Sospel  06380  France",""," [7.44416 , 43.88006] ",2,FREVZEDAVD1,1544336,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-18,False
